time,price_t,price_tplus,pred_tplus,spread,position,pnl,pnl_cum
2018-12-14 19:00:00,76.53,76.21,75.58264,-0.6273583984374937,1,-0.3200000000000074,380.30999999999995
2018-12-14 20:00:00,76.21,74.4,74.43811,0.038110351562494316,-1,1.809999999999988,382.11999999999995
2018-12-14 21:00:00,74.4,72.72,72.62907,-0.09093353271484261,1,-1.6800000000000068,380.43999999999994
2018-12-14 22:00:00,72.72,70.86,70.84788,-0.012122497558593182,1,-1.8599999999999994,378.5799999999999
2018-12-14 23:00:00,70.86,69.13,69.306335,0.17633544921875455,-1,1.730000000000004,380.30999999999995
2018-12-15 00:00:00,69.13,64.12,66.71399,2.5939892578124955,-1,5.009999999999991,385.31999999999994
2018-12-15 01:00:00,64.12,61.15,63.18017,2.03016815185547,-1,2.970000000000006,388.28999999999996
2018-12-15 02:00:00,61.15,56.67,59.270924,2.6009236145019514,-1,4.479999999999997,392.77
2018-12-15 03:00:00,56.67,55.21,55.975838,0.7658377075195304,-1,1.4600000000000009,394.22999999999996
2018-12-15 04:00:00,55.21,54.69,55.259693,0.5696931457519554,-1,0.5200000000000031,394.74999999999994
2018-12-15 05:00:00,54.69,56.0,55.88501,-0.114990234375,1,1.3100000000000023,396.05999999999995
2018-12-15 06:00:00,56.0,60.27,62.42197,2.1519703674316375,-1,-4.270000000000003,391.78999999999996
2018-12-15 07:00:00,60.27,61.86,66.57403,4.714028015136719,-1,-1.5899999999999963,390.2
2018-12-15 08:00:00,61.86,68.37,67.37911,-0.9908877563476608,1,6.510000000000005,396.71
2018-12-15 09:00:00,68.37,69.92,72.22551,2.305509643554686,-1,-1.5499999999999972,395.15999999999997
2018-12-15 10:00:00,69.92,69.36,72.23727,2.8772665405273443,-1,0.5600000000000023,395.71999999999997
2018-12-15 11:00:00,69.36,68.54,69.443405,0.9034051513671812,-1,0.8199999999999932,396.53999999999996
2018-12-15 12:00:00,68.54,67.99,68.814865,0.8248651123046926,-1,0.5500000000000114,397.09
2018-12-15 13:00:00,67.99,63.58,66.54525,2.9652499389648455,-1,4.409999999999997,401.5
2018-12-15 14:00:00,63.58,63.56,63.90633,0.34633010864257585,-1,0.01999999999999602,401.52
2018-12-15 15:00:00,63.56,63.85,65.21652,1.3665222167968736,-1,-0.28999999999999915,401.22999999999996
2018-12-15 16:00:00,63.85,67.74,66.71084,-1.0291616821289011,1,3.8899999999999935,405.11999999999995
2018-12-15 17:00:00,67.74,72.48,72.56796,0.08796264648437102,-1,-4.740000000000009,400.37999999999994
2018-12-15 18:00:00,72.48,72.84,74.18894,1.3489419555664028,-1,-0.35999999999999943,400.0199999999999
2018-12-15 19:00:00,72.84,66.61,71.3883,4.778298034667969,-1,6.230000000000004,406.24999999999994
2018-12-15 20:00:00,66.61,65.37,65.585236,0.21523559570312045,-1,1.2399999999999949,407.48999999999995
2018-12-15 21:00:00,65.37,65.76,65.93966,0.17965911865233863,-1,-0.39000000000000057,407.09999999999997
2018-12-15 22:00:00,65.76,64.76,66.47201,1.7120077514648386,-1,1.0,408.09999999999997
2018-12-15 23:00:00,64.76,59.68,63.59216,3.9121592712402347,-1,5.080000000000005,413.17999999999995
2018-12-16 00:00:00,59.68,56.25,58.466846,2.216846466064453,-1,3.4299999999999997,416.60999999999996
2018-12-16 01:00:00,56.25,53.88,55.517216,1.637215728759763,-1,2.3699999999999974,418.97999999999996
2018-12-16 02:00:00,53.88,51.5,53.251198,1.7511978149414062,-1,2.3800000000000026,421.35999999999996
2018-12-16 03:00:00,51.5,49.72,52.01313,2.2931301879882824,-1,1.7800000000000011,423.14
2018-12-16 04:00:00,49.72,51.97,51.147175,-0.8228251647949207,1,2.25,425.39
2018-12-16 05:00:00,51.97,53.64,56.625324,2.9853242492675776,-1,-1.6700000000000017,423.71999999999997
2018-12-16 06:00:00,53.64,55.48,58.216736,2.736735839843753,-1,-1.8399999999999963,421.88
2018-12-16 07:00:00,55.48,56.52,59.911083,3.3910832214355437,-1,-1.0400000000000063,420.84
2018-12-16 08:00:00,56.52,62.46,62.65286,0.19285873413085852,-1,-5.939999999999998,414.9
2018-12-16 09:00:00,62.46,63.38,66.07688,2.6968814086914037,-1,-0.9200000000000017,413.97999999999996
2018-12-16 10:00:00,63.38,63.62,65.29844,1.6784390258789088,-1,-0.23999999999999488,413.73999999999995
2018-12-16 11:00:00,63.62,62.72,64.20838,1.4883816528320324,-1,0.8999999999999986,414.63999999999993
2018-12-16 12:00:00,62.72,62.71,63.992496,1.2824964904785148,-1,0.00999999999999801,414.6499999999999
2018-12-16 13:00:00,62.71,63.1,63.86327,0.7632698059082017,-1,-0.39000000000000057,414.25999999999993
2018-12-16 14:00:00,63.1,59.78,62.273735,2.4937350463867176,-1,3.3200000000000003,417.5799999999999
2018-12-16 15:00:00,59.78,62.4,62.261795,-0.13820495605468608,1,2.6199999999999974,420.19999999999993
2018-12-16 16:00:00,62.4,66.72,66.89708,0.17707946777343864,-1,-4.32,415.87999999999994
2018-12-16 17:00:00,66.72,72.8,71.8468,-0.9531982421874972,1,6.079999999999998,421.9599999999999
2018-12-16 18:00:00,72.8,73.34,74.08535,0.7453500366210903,-1,-0.5400000000000063,421.4199999999999
2018-12-16 19:00:00,73.34,73.65,73.64459,-0.005407714843755684,1,0.3100000000000023,421.7299999999999
2018-12-16 20:00:00,73.65,69.89,71.68688,1.7968820190429682,-1,3.760000000000005,425.4899999999999
2018-12-16 21:00:00,69.89,70.68,68.5986,-2.081397705078132,1,0.7900000000000063,426.2799999999999
2018-12-16 22:00:00,70.68,62.52,67.5913,5.071300964355466,-1,8.160000000000004,434.43999999999994
2018-12-16 23:00:00,62.52,56.16,59.196774,3.036773529052738,-1,6.3600000000000065,440.79999999999995
2018-12-17 00:00:00,56.16,54.87,55.28062,0.41062057495117443,-1,1.2899999999999991,442.09
2018-12-17 01:00:00,54.87,53.21,55.23652,2.0265188598632804,-1,1.6599999999999966,443.75
2018-12-17 02:00:00,53.21,52.25,53.754795,1.5047950744628906,-1,0.9600000000000009,444.71
2018-12-17 03:00:00,52.25,53.03,53.61825,0.5882518005371082,-1,-0.7800000000000011,443.92999999999995
2018-12-17 04:00:00,53.03,55.59,56.962822,1.3728219604492153,-1,-2.5600000000000023,441.36999999999995
2018-12-17 05:00:00,55.59,68.21,61.59589,-6.614109954833978,1,12.61999999999999,453.98999999999995
2018-12-17 06:00:00,68.21,72.25,72.52485,0.27484893798828125,-1,-4.040000000000006,449.94999999999993
2018-12-17 07:00:00,72.25,74.48,74.02907,-0.4509320068359415,1,2.230000000000004,452.17999999999995
2018-12-17 08:00:00,74.48,75.12,74.91536,-0.20464050292969205,1,0.6400000000000006,452.81999999999994
2018-12-17 09:00:00,75.12,76.39,75.51668,-0.8733221435546881,1,1.269999999999996,454.0899999999999
2018-12-17 10:00:00,76.39,76.96,76.28463,-0.67537017822265,1,0.5699999999999932,454.6599999999999
2018-12-17 11:00:00,76.96,76.94,76.13943,-0.800572814941404,1,-0.01999999999999602,454.63999999999993
2018-12-17 12:00:00,76.94,75.38,75.558014,0.17801391601562955,-1,1.5600000000000023,456.19999999999993
2018-12-17 13:00:00,75.38,74.61,74.32405,-0.28594909667968693,1,-0.769999999999996,455.42999999999995
2018-12-17 14:00:00,74.61,74.29,74.10496,-0.1850424194336,1,-0.3199999999999932,455.10999999999996
2018-12-17 15:00:00,74.29,74.23,73.86633,-0.363666992187504,1,-0.060000000000002274,455.04999999999995
2018-12-17 16:00:00,74.23,75.43,74.342926,-1.0870739746093818,1,1.2000000000000028,456.24999999999994
2018-12-17 17:00:00,75.43,78.44,77.6396,-0.8003973388671852,1,3.009999999999991,459.25999999999993
2018-12-17 18:00:00,78.44,78.65,78.29696,-0.35304107666016193,1,0.21000000000000796,459.4699999999999
2018-12-17 19:00:00,78.65,78.69,77.25469,-1.435307922363279,1,0.03999999999999204,459.5099999999999
2018-12-17 20:00:00,78.69,74.58,75.63313,1.0531329345703142,-1,4.109999999999999,463.6199999999999
2018-12-17 21:00:00,74.58,69.78,71.748,1.9680010986328114,-1,4.799999999999997,468.4199999999999
2018-12-17 22:00:00,69.78,64.05,66.60585,2.5558502197265653,-1,5.730000000000004,474.1499999999999
2018-12-17 23:00:00,64.05,56.6,60.78254,4.18253936767578,-1,7.449999999999996,481.5999999999999
2018-12-18 00:00:00,56.6,54.5,56.11861,1.6186103820800781,-1,2.1000000000000014,483.69999999999993
2018-12-18 01:00:00,54.5,53.18,55.336002,2.156002349853516,-1,1.3200000000000003,485.0199999999999
2018-12-18 02:00:00,53.18,52.23,54.61875,2.3887515258789094,-1,0.9500000000000028,485.9699999999999
2018-12-18 03:00:00,52.23,52.17,54.361282,2.191282348632811,-1,0.05999999999999517,486.0299999999999
2018-12-18 04:00:00,52.17,54.81,56.269253,1.459252777099607,-1,-2.6400000000000006,483.38999999999993
2018-12-18 05:00:00,54.81,62.61,63.254246,0.6442457580566412,-1,-7.799999999999997,475.5899999999999
